Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,02-02-2016,8,The Principal London, Netherlands , no mini bar in the room and the temperature controls didn t function properly Small tv screen ,19,3150, the atmosphere and the architecture of the building Comfortable room Nice bathroom with a great shower ,18,1,7.1,"[' Leisure trip ', ' Couple ', ' Superior Twin Room ', ' Stayed 3 nights ']",548 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,1/19/2016,8,The Principal London, France , Personal not amiable The room did not match the pictures on the website The AC in my room was really noisy and it took me 4 visits to the reception for them to change my room ,38,3150, Great location for shopping and close to St Pancras Station,11,1,4.6,"[' Leisure trip ', ' Solo traveler ', ' Double Room ', ' Stayed 1 night ']",562 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,1/16/2016,8,The Principal London, New Zealand ,No Negative,0,3150, We stayed here the first time and had a great experience great room the room service order got screwed up but we weren t to bothered Awesome location We liked it so much we came back a few days later and it was terrible I think we must have been upgraded to a nicer room the first time without being told so the second time when they offered us an upgraded room we declined thinking it would be the same as before It sure wasn t The room stunk had a bank of about 20 aircon units outside the window the air con in the room didn t work so we had to have the windows open in the middle of winter to keen it cool The bathroom was filthy and the bed extremely uncomfortable and squeaky Would never stay in this rooms again but the upgraded rooms are really good They also screwed up our room service order the second time and the operator didn t know what a hashbrown was even though it was on the menu ,181,7,6.7,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",565 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,1/15/2016,8,The Principal London, United States of America ,No Negative,0,3150, The hotel was beautiful Very elegant All the staff were very friendly and helpful especially Bernard the Concierge The location was great with much to see and do within walking distance We would definitely stay there again ,39,1,10,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ']",566 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,12/26/2015,8,The Principal London, United States of America ,No Negative,0,3150, The hotel was esquisite and staff was extremely pleasant and helpful We very much enjoyed the substantial buffet breakfast It is less than a block from the Russell Square tube station ,33,1,10,"[' Leisure trip ', ' Family with older children ', ' Superior Double Room with Two Double Beds ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",586 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,12/26/2015,8,The Principal London, New Zealand , Although the staff were nice they screwed our meal orders up twice Our room was really nice the first night large room with a window We decided to come back and stay a second night but got put in a terrible room Very small the air conditioning didn t work so we had to open all the windows in the middle of winter to keep it cool There was a bank of about 50 air conditioning units right outside our window so it was super noisy The bathroom stunk of mold and Lynx deodorant The drains were blocked and the bed was terrible It was super hard and super creaky which woke us up a lot in the night Between the creaky bed and the air conditioning units outside the stuffy heat and the mouldy stench we didn t have a very good sleep at all I think maybe we stayed in an upgraded room the first night without knowing An upgrade was offered to us the second night for 20 pounds but we didn t think we needed it and assumed we d have a similar room as the previous night But we definitely didnt On a different topic the adult movie channel was terrible Super fetishy chin strap ons surgical instruments lots of pvc and horrible badly lit ugly people having gross sex Not my cup tea but if you re into that kind of stuff you ll love this place ,245,3150, The building is beautiful and well maintained great location easy to get around and great value compared to other hotels in the area Very grand and gothic love the links with the titanic too ,36,7,5.4,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",586 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,12/17/2015,8,The Principal London, United States of America , No adverse experiences whatsoever ,6,3150, The room was extremely well designed for its space and managed to include a nice desk with comfortable chair and an additional comfortable chair The heating worked efficiently The bathroom was nice The maid service was excellent The wifi worked very well in my room Also the reception and concierge service were excellent ,55,1,10,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 4 nights ']",595 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,12-06-2015,8,The Principal London, United States of America ,No Negative,0,3150, We had just one night in London and the hotel s location let us make the most of it Took the tube directly from Heathrow no transfers and found the hotel right around the corner from the Russell Square tube station The next day it was an easy walk to St Pancras Station to catch the train to Gatwick We spent our day in London eating shopping and visiting the British Museum everything within extremely easy walking distance Grand old hotel with updated comfortable rooms and magnificent public spaces It occupies nearly a block and the hallways are quite long and could probably be updated but the rooms are very pleasant indeed Stayed on a Sunday night when the room rates were exceptionally low they re much higher the rest of the week Charming doorman too ,138,10,9.2,"[' Leisure trip ', ' Group ', ' 2 rooms ', ' Stayed 1 night ']",606 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,11/18/2015,8,The Principal London, United States of America , VERY over priced Stated as a four star and in my opinion not even close Room floor squeaked every where was annoying unless you made it a game to try and walk from bed to bath without squeaking not possible Room given was NOT the room pictured in the ad when I reserved as junior suite not even close although I was told on site it was one of the best buyer beware Shower bath access was difficult and I am very agile The tub rim to step over was to my knee caps and I am 6 3 so if you are short good luck ,108,3150, Lobby was beautiful from the era built Location in relation to train and tour access was very good ,20,2,5.4,"[' Leisure trip ', ' Couple ', ' Junior Suite ', ' Stayed 3 nights ']",624 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,11/18/2015,8,The Principal London, United States of America , The single room is small but I was more bothered by the noise from the hallway The walls are very thin Also there was a little mold on the shower wall on my first night It was removed after I called the front desk about it the next morning Otherwise the bathroom was nice ,56,3150, The location is conveniently located to the metro shopping mall restaurants park and The British Museum The exterior is beautiful and the bar is nice ,27,1,6.7,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",624 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,11/14/2015,8,The Principal London, United States of America ,No Negative,0,3150, Location short 10min walk to either St Pancras or Euston train station The historic building our room 800 top floor in the tower the fabulous old restaurant and bar with the breakfast Nearby pubs ,36,10,8.8,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",628 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,11-04-2015,8,The Principal London, United States of America , IF I had to complain Id say that a bit of noise comes off the corridor I m not sure if it s the thickness of the walls or the acoustical rating on the door ,37,3150, Incredible staff who were very friendly and helpful even early in the morning I only stayed one night so I m not sure what the rest of the facilities are like but I image they are great Location is perfect for touring London and conveniently located next to a tube station Oh and on a side note the little soap lotion and shampoo smell amazing ,67,3,8.8,"[' Leisure trip ', ' Solo traveler ', ' Double Room ', ' Stayed 1 night ']",638 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,11-03-2015,8,The Principal London, United States of America , the hotel room was filthy and infested with bugs Had to be moved into another room which wasn t very nice either ,24,3150, The location was good close to the tube,9,1,5.4,"[' Business trip ', ' Group ', ' Superior Twin Room ', ' Stayed 2 nights ']",639 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,11-03-2015,8,The Principal London, France , Some small details disturbing the last day the room was not completely clean the small cookie MIETE on the nightstand ,22,3150, Welcoming staff and available and responsive nice room and comfortable bed ,13,7,8.3,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 5 nights ']",639 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,10/27/2015,8,The Principal London, France , We had a tiny room not comfortable at all The room would perhaps suit a single but not a double occupancy and should not be sold as such ,30,3150, Wonderful and friendly staff great location for our visit ,11,4,7.9,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",646 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,10/22/2015,8,The Principal London, United States of America , My error in believing my reservation included one more night but the HR handled this with grace despite my embarrassment ,22,3150, Loved the staff The concierges Serge V Dario Bernard and Max all of them wonderful And Lorenzo at the front desk I plan to post a physical letter to the hotel to cite all these people And like Arnold S I ll be back ,46,2,10,"[' Business trip ', ' Solo traveler ', ' Twin Room ', ' Stayed 3 nights ']",651 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,10-05-2015,8,The Principal London, United States of America , Hotel staff didn t appear to have a good command or understanding of English The receptionist argued that my debit credit card could not be used as a credit card when in fact it had been used as a credit card at Hotel Russell just a week prior when we first arrived in London for the first half of our stay Had to request management to sort this out Her attitude was non too friendly during this experience As mentioned before we stayed here during the first half our trip as well The movie which cost a staggering 8 could not be enjoyed due to the poor satellite reception though the weather was near perfect Room service the first night was acceptable however on night two the food was not delivered When I called to check on the reason I was told that it was after 10 00pm and therefore it could not be delivered The original order had been called in before 9 00pm As if this was not disappointing enough our reservations which I had made on line weeks before the trip was somehow bungled up and when we arrived on Friday we were told the reservations were for Saturday though I had an email confirmation of that Friday being our arrival date We were able to get a room but then had to switch rooms the following morning as the room we were put in for one night was already reserved The location and appearance of the hotel was not enough to outweigh the overall negative experience of staying at Hotel Russell ,267,3150, Location ,3,3,4.2,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",668 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,10-04-2015,8,The Principal London, United States of America ,No Negative,0,3150, This hotel was perfect for us We could walk to many sites and museums and the tube stop was right around the corner if we didn t walk It s a 10 minute walk to Euston Station or King s Cross The hotel is very elegant with a beautiful lobby Our room was really comfortable and quiet The bathroom was good sized We had a mini fridge and a tea kettle so we could have tea in our room the wifi was good Really everything we needed to be comfortable was provided and we were in a great location We loved it and would definitely stay here next time we re in London ,115,1,9.6,"[' Leisure trip ', ' Family with older children ', ' Twin Room ', ' Stayed 7 nights ']",669 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,9/29/2015,8,The Principal London, United States of America , We were given what I would describe as someone s flat that they let us have for the weekend It had two separate bathrooms one with a shower the other with a bath The sink in the bath bathroom did not work The staff basically said oh well The room had scuffs on the walls the carpet needed replacing and the bathrooms were obviously in disrepair The room was supposed to be of modern design but fell flat They should embrace the history of the hotel and reflect that in their rooms and service ,96,3150, The hotel beckoned to a bygone era and has retained some of that charm ,16,1,5,"[' Business trip ', ' Couple ', ' Junior Suite ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",674 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,9/22/2015,8,The Principal London, United States of America ,No Negative,0,3150, I had wanted to stay here ever since I saw the exterior two years ago The internet price came down just before my August trip so I grabbed it The hotel did not disappoint it was better than I had hoped The room staff were efficient and sweet the desk staff helpful the door staff adequate not very friendly actually the bar excellent I didn t try the restaurant The room was well appointed and I loved the kettle and the provided tea sugar shortbread The shower directions were hilariously confusing but I got the thing to work just fine Excellent I will hope to stay there again ,110,2,10,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 6 nights ']",681 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,9/20/2015,8,The Principal London, United States of America , Nothing,2,3150, Hotel location has great access to Tube lines and the British Museum is an easy five minute walk Cafe Nero is kitty corner for delicious coffee makes for an inexpensive continental breakfast Hotel bar is a quiet comfortable spot for a pre post dinner cocktail And be sure to rub the brass dragon located on the second floor in the stair well it s mate is at the bottom of the Atlantic aboard the Titanic ,77,6,8.8,"[' Leisure trip ', ' Family with older children ', ' Double Room ', ' Stayed 2 nights ']",683 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,9/17/2015,8,The Principal London, United States of America , Horribly loud air conditioner Called desk to find out cost to call our car rental They told me no charge and then charged L9 each about 28 total for two calls when we got our bill They did take it off after some convincing Ridiculous charge for breakfast so we opted for local Starbucks ,56,3150, Good Housekeeping Nice coffee service in room Great concierge Serge Easy access to underground and buses ,18,8,7.9,"[' Leisure trip ', ' Couple ', ' Twin Room ', ' Stayed 5 nights ']",686 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,9/15/2015,8,The Principal London, United States of America , Room size was smaller than expected The lighting was harsh with the overhead lights Bed and pillows were very hard and uncomfortable Our safe could not be fixed which caused us to put our valuables in the Managers safe very inconvenient ,43,3150, Location was excellent The Hotel bar was comfortable service good and food great Bathroom was nicely appointed with luxurious towels ,22,1,7.5,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 3 nights ']",688 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,8/31/2015,8,The Principal London, United States of America , No problems ,4,3150, Great location a block away from the Russell Square tube Station on the Piccadilly Line Easy to access buses too British Museum is a close and easy walk away Euston St Pancras and King s Cross train stations are nearby Beautiful marble y interior Excellent and friendly staff Everything worked Well appointed bathroom ,55,8,9.6,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 2 nights ']",703 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,8/25/2015,8,The Principal London, United Arab Emirates , i dont have any thing to say about this hotel it is full of happiness,16,3150, this was my all life best hotel and beautiful balding i love to stay again and very central under ground is very near big supermarket is very near what us you need in central london,36,4,10,"[' Leisure trip ', ' Couple ', ' Single Room ', ' Stayed 4 nights ']",709 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,8/24/2015,8,The Principal London, United States of America , Upon arrival we turned AC on freshened up and went out for the day When we returned AC was still not working London was going through a heat spell Called front desk someone came up with a fan and told us there was nothing they could do so we suffered in the warmth of the night Did not help that windows were only able to open about 3 inches Next morning as we were preparing to head out maintenance came informed them to stop back as we were getting ready to leave for the day When we returned later that night AC still did not work I was told that it would not be repaired until the following week after I went to front desk to complain My family was later moved to two separate rooms at 11 00 at night instead of one room This is a very old hotel and it shows We were comped breakfast for two days for three people for our inconvenience Overall I would not recommend this place ,176,3150,No Positive,0,1,5.4,"[' Leisure trip ', ' Family with older children ', ' Superior Double Room with Two Double Beds ', ' Stayed 2 nights ']",710 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,8/23/2015,8,The Principal London, France , Had to change rooms twice once because door key did not function and second time because the room was too small for two Very little space for clothes even in the final large room ,36,3150, The staff on reception did everything possible to remedy problems fast and efficiently ,15,3,8.8,"[' Couple ', ' Double Room ', ' Stayed 3 nights ']",711 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,8/20/2015,8,The Principal London, United States of America , Recommendation from concierge for Verdi Restaurant Overpriced for mediocre food Saw Italian restaurant next to lamb pub that looked a lot better for similar prices ,27,3150, Everything We would highly recommend it to anyone going to London Facilities great Staff very accommodating and pleasant ,20,1,10,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",714 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,8/17/2015,8,The Principal London, United States of America , Steps at main entrance Bell staff is very helpful with luggage but impossible for ambulatory handicapped,17,3150, Very convenient to Piccadilly Line Tube at Russel Square British Museum and University Grand public rooms of a previous era,21,32,8.3,"[' Business trip ', ' Couple ', ' Double Room ', ' Stayed 3 nights ']",717 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,8/15/2015,8,The Principal London, Netherlands , I ve stayed here twice and ever single time i get charged for a breakfast i did not have ,21,3150, Great location room was spacious staff is helpfull Beautiful building ,12,2,9.2,"[' Solo traveler ', ' Single Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",719 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,08-07-2015,8,The Principal London, United States of America ,No Negative,0,3150, Friendly staff excellent location really worth the price for a superior double room on a July Friday night in centre London Asked for a room with a park view and they managed to arrange one Although the police siren at night was a bit annoying but this was not a problem for us ,55,18,9.6,"[' Leisure trip ', ' Family with older children ', ' Superior Double Room ', ' Stayed 1 night ']",727 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,08-06-2015,8,The Principal London, United States of America , Staff seemed hard pressed and overworked Felt like we were stuck away and multiple attempts still kept us from getting enough room for three to comfortably share one room Promoting the location as being close to attractions that are over a mile away doesn t seem right ,49,3150, The original building and its distinctiveness,7,1,4.6,"[' Leisure trip ', ' Group ', ' Superior Double Room ', ' Stayed 1 night ']",728 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,7/17/2016,8,The Principal London, United States of America ,No Negative,0,3150, Really enjoyed our stay Room was great Breakfast was good Overall terrific ,14,3,10,"[' Leisure trip ', ' Group ', ' 2 rooms ', ' Stayed 5 nights ']",382 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,7/16/2016,8,The Principal London, United States of America ,No Negative,0,3150, Happy with pur stay,5,3,9.6,"[' Leisure trip ', ' Couple ', ' Superior Twin Room ', ' Stayed 20 nights ', ' Submitted from a mobile device ']",383 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,07-10-2016,8,The Principal London, New Zealand , Pathetically small room clean tidy but needs some TLC Very average breakfast,13,3150, Super Location friendly staff,5,6,7.5,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",389 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,07-02-2016,8,The Principal London, United States of America ,No Negative,0,3150, The Russell Square Underground station was right around the corner This convenience allowed me to reach anywhere in the city within a few minutes ,26,4,10,"[' Leisure trip ', ' Solo traveler ', ' Double Room ', ' Stayed 3 nights ']",397 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,07-01-2016,8,The Principal London, United States of America , About everthing,3,3150, Location,2,1,3.3,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",398 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,6/25/2016,8,The Principal London, United States of America , Coffee ,3,3150, Good food with lots of variety ,8,1,8.3,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",404 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,6/24/2016,8,The Principal London, Netherlands , Airco did not work in my room Was therefore a bid warm taking into acount that outside temperature was also 24 degrees,23,3150,No Positive,0,1,9.2,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 2 nights ']",405 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,6/23/2016,8,The Principal London, United States of America , Buffet breakfasts,3,3150, Beautiful room responsive staff excellent management,7,5,10,"[' Business trip ', ' Couple ', ' Superior Twin Room ', ' Stayed 9 nights ', ' Submitted from a mobile device ']",406 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,5/23/2016,8,The Principal London, United States of America , Americans like their washcloths but we adapted ,9,3150, Lovely view of Russell Square,6,9,10,"[' Leisure trip ', ' Family with older children ', ' Superior Twin Room ', ' Stayed 3 nights ']",437 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,5/23/2016,8,The Principal London, India ,No Negative,0,3150, Excellent location v friendly staff,6,9,8.3,"[' Leisure trip ', ' Solo traveler ', ' Double Room ', ' Stayed 2 nights ']",437 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,5/22/2016,8,The Principal London, United Arab Emirates , Tv screen really small plus no Refrigerator in the room ,12,3150, Staff very friendly Location was very good for me ,11,5,8.8,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 1 night ']",438 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,5/18/2016,8,The Principal London, United States of America , the rooms were tiny and cramped no shelf space in bathroom ,13,3150, the breakfasts were very good the location was excellent ,11,9,7.1,"[' Leisure trip ', ' Couple ', ' Twin Room ', ' Stayed 4 nights ']",442 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,5/17/2016,8,The Principal London, United States of America ,No Negative,0,3150, Location excellent near British Museum and Piccadilly line and Brunswick Square ,13,3,10,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",443 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,5/16/2016,8,The Principal London, Germany , the flatiron in the room turned out to be broken very few receptacles,14,3150, great breakfast friendly service,5,3,8.3,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 3 nights ']",444 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,05-09-2016,8,The Principal London, United States of America , Shower only no bathtub No organization i e hooks or shelves in bathroom ,15,3150, Location was wonderful Property was beautiful and staff was helpful ,12,4,10,"[' Leisure trip ', ' Group ', ' Twin Room ', ' Stayed 5 nights ']",451 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,05-08-2016,8,The Principal London, United States of America , Long way from lobby to room and room was up a short flight of stairs after the long walk ,21,3150, Beautiful well appointed historic building,6,3,9.6,"[' Leisure trip ', ' Couple ', ' Champagne Shopping package Double Room ', ' Stayed 4 nights ']",452 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,05-07-2016,8,The Principal London, United States of America ,No Negative,0,3150, Enjoyed the whole experience the coffee was superb ,10,1,10,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 3 nights ']",453 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,05-03-2016,8,The Principal London, United States of America , Rooms cramped,3,3150, Senior door man been there 28 years,8,1,7.9,"[' Business trip ', ' Couple ', ' Double Room ', ' Stayed 4 nights ']",457 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,05-01-2016,8,The Principal London, France , The rooms are old and don t look like the photos on the booking com site ,18,3150, Location,2,3,4.2,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",459 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,4/28/2016,8,The Principal London, Netherlands , Room was ok but didn t pay for spectacular ,11,3150, The staff were the best Kind and helpful ,10,2,8.8,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",462 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,4/26/2016,8,The Principal London, United States of America ,No Negative,0,3150, Very professional and friendly staff beautiful facility Could not have been happier ,14,1,10,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 2 nights ']",464 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,4/26/2016,8,The Principal London, Netherlands ,No Negative,0,3150, Location Location Location and nice simple everything you need rooms,11,47,9.6,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 2 nights ']",464 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,4/14/2016,8,The Principal London, United Arab Emirates , Provided room and related bathroom,6,3150, Hotel Location,3,5,5.4,"[' Leisure trip ', ' Family with young children ', ' Double Room ', ' Stayed 6 nights ']",476 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,04-03-2016,8,The Principal London, United States of America ,No Negative,0,3150, Location Room renovation is very nice,7,3,7.9,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",487 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,04-02-2016,8,The Principal London, France , I booked for twin room but they mistook and couldn t provide a twin room so we were separated to a single room ,25,3150,No Positive,0,2,7.1,"[' Leisure trip ', ' Solo traveler ', ' Twin Room ', ' Stayed 2 nights ']",488 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,3/27/2016,8,The Principal London, United States of America ,No Negative,0,3150, Proximity to tube can t be beat Comfortable room ,11,1,7.9,"[' Leisure trip ', ' Family with older children ', ' Twin Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",494 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,3/27/2016,8,The Principal London, United States of America , Front desk staff was comically incapable Poor English too ,11,3150, Location is great and supporting staff cleaning ladies laundry service was excellent ,14,1,6.7,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",494 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,3/21/2016,8,The Principal London, United States of America , Nothing ,3,3150, Location was just perfect good breakfast too especially helpful staff ,12,17,7.9,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",500 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,03-08-2016,8,The Principal London, France , Airconditioning bad windows old shabby furniture long walking in corridors just one lift area,15,3150, Location,2,18,5,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",513 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,03-03-2016,8,The Principal London, France , Tiny cramped bathroom sink area ridiculously narrow ,9,3150, staff,2,3,5.8,"[' Solo traveler ', ' Twin Room ', ' Stayed 1 night ']",518 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,2/18/2016,8,The Principal London, United States of America , Need facecloths No fitness center ,7,3150, Bathroom set up mirrors good Bed comfortable Elevators quick Great bar ,13,2,9.2,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 6 nights ']",532 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,1/20/2016,8,The Principal London, United States of America , Front desk staff unfriendly and did not answer phone or respond to requests for more towels without asking multiple times ,22,3150, Hotel was quiet ,5,1,6.7,"[' Leisure trip ', ' Family with older children ', ' Champagne Shopping package Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",561 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,1/19/2016,8,The Principal London, France , All was good,4,3150, The russell hotel was super i would definately consider it agsin for future visits,15,15,8.3,"[' Leisure trip ', ' Group ', ' Superior Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",562 day,51.5226217,-0.1251602
1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,01-02-2016,8,The Principal London, United States of America , We had spotty wifi service in our room ,10,3150, Good location clean good value,6,1,7.9,"[' Leisure trip ', ' Family with older children ', ' 2 rooms ', ' Stayed 6 nights ']",579 day,51.5226217,-0.1251602
